,date,open,high,low,close,adjClose,volume
232,2017-06-18,107.12,108.17,107.12,107.71,92.93,10622454
233,2017-06-25,107.59,107.86,107.41,107.8,93.01,6258873
234,2017-07-02,107.9,108.01,106.54,106.61,91.98,10817922
235,2017-07-09,106.45,106.46,105.72,105.77,91.39,15328693
236,2017-07-16,105.84,106.74,105.83,106.4,91.94,8168338
237,2017-07-23,106.46,107.27,106.4,107.14,92.58,9664474
238,2017-07-30,107.08,107.15,106.41,106.82,92.3,10721333
239,2017-08-06,106.76,107.25,106.47,106.93,92.54,6238561
240,2017-08-13,106.88,107.62,106.73,107.55,93.08,5422990
241,2017-08-20,107.34,107.81,106.83,107.57,93.09,7565680
242,2017-08-27,107.6,107.87,107.37,107.81,93.3,6478255
243,2017-09-03,107.76,108.43,107.7,107.76,93.4,8295479
244,2017-09-10,108.16,108.81,108.13,108.64,94.16,10198698
245,2017-09-17,108.2,108.24,107.38,107.69,93.34,9819617
246,2017-09-24,107.26,107.36,106.77,106.99,92.73,9319972
247,2017-10-01,107.11,107.39,106.46,106.52,92.32,10938694
248,2017-10-08,106.42,106.49,105.85,106.12,92.11,12072422
249,2017-10-15,106.21,106.92,106.14,106.86,92.76,7728439
250,2017-10-22,106.67,106.79,106.0,106.04,92.05,8298919
251,2017-10-29,106.09,106.21,105.47,105.85,91.88,7531667
252,2017-11-05,106.09,106.4,105.92,106.37,92.47,8722569
253,2017-11-12,106.47,106.63,105.79,105.83,92.01,5329372
254,2017-11-19,105.91,106.35,105.77,106.18,92.31,7121672
255,2017-11-26,106.05,106.42,105.95,106.28,92.4,4261318
256,2017-12-03,106.33,106.55,105.5,105.93,92.23,14157093
257,2017-12-10,105.65,106.31,105.64,105.91,92.21,9874556
258,2017-12-17,105.97,106.23,105.6,106.12,92.4,7565338
259,2017-12-24,106.03,106.06,104.87,105.04,91.6,11968147
260,2017-12-31,105.05,105.64,105.03,105.57,92.06,8266446
261,2018-01-07,105.44,105.47,105.02,105.15,91.7,10631791
262,2018-01-14,105.2,105.22,104.23,104.57,91.19,13746734
263,2018-01-21,104.74,104.76,103.73,103.79,90.51,14361496
264,2018-01-28,103.87,104.11,103.62,103.77,90.49,18446562
265,2018-02-04,103.5,103.55,102.11,102.22,89.29,22353398
266,2018-02-11,102.25,103.31,101.89,102.22,89.29,27120827
267,2018-02-18,102.22,102.39,101.63,102.01,89.1,15011440
268,2018-02-25,101.81,102.21,101.47,102.13,89.21,13288908
269,2018-03-04,102.36,102.61,101.74,102.07,89.29,16049345
270,2018-03-11,102.35,102.35,101.77,101.92,89.16,8890313
271,2018-03-18,102.0,102.66,101.94,102.37,89.56,12580024
272,2018-03-25,102.15,102.77,101.68,102.7,89.85,16336736
273,2018-04-01,102.52,103.31,102.39,103.19,90.27,13015612
274,2018-04-08,102.94,103.34,102.43,102.92,90.19,13635800
275,2018-04-15,102.74,103.0,102.4,102.58,89.89,11341292
276,2018-04-22,102.33,102.66,101.57,101.57,89.01,10557787
277,2018-04-29,101.48,101.65,101.06,101.59,89.03,15896645
278,2018-05-06,101.64,101.81,101.3,101.64,89.24,17648766
279,2018-05-13,101.63,101.66,101.16,101.41,89.03,13347961
280,2018-05-20,101.25,101.28,100.33,100.75,88.46,20703729
281,2018-05-27,100.7,101.91,100.64,101.9,89.46,15757159
282,2018-06-03,102.35,103.2,101.77,101.93,89.67,28981549
283,2018-06-10,101.82,102.13,101.36,101.71,89.47,23091122
284,2018-06-17,101.53,102.1,101.16,101.83,89.58,16288261
285,2018-06-24,101.96,102.28,101.8,102.11,89.83,16823407
286,2018-07-01,102.22,102.73,102.21,102.51,90.18,21455505
287,2018-07-08,102.42,102.71,102.22,102.61,90.43,10264493
288,2018-07-15,102.37,102.64,102.21,102.61,90.43,13197008
289,2018-07-22,102.39,102.67,102.18,102.22,90.09,11737531
290,2018-07-29,102.1,102.11,101.59,101.77,89.69,15021808
291,2018-08-05,101.57,101.83,101.19,101.72,89.83,17798706
292,2018-08-12,101.79,102.5,101.54,102.37,90.4,17474877
293,2018-08-19,102.31,102.68,102.19,102.5,90.51,14700956
294,2018-08-26,102.7,102.96,102.61,102.89,90.86,9982267
295,2018-09-02,102.75,102.83,102.3,102.61,90.61,9692454
296,2018-09-09,102.26,102.45,101.87,101.91,90.17,10813565
297,2018-09-16,101.89,102.01,101.46,101.52,89.83,12901923
298,2018-09-23,101.41,101.58,100.8,101.0,89.37,18295301
299,2018-09-30,100.85,101.3,100.68,101.17,89.52,18045288
300,2018-10-07,100.83,101.04,99.6,99.72,88.41,28039825
301,2018-10-14,99.82,100.55,99.67,100.29,88.92,16485484
302,2018-10-21,100.39,100.44,99.95,100.11,88.76,16020072
303,2018-10-28,100.22,101.3,100.12,101.14,89.67,18772137
304,2018-11-04,101.01,101.24,99.93,99.97,88.83,23555578
305,2018-11-11,100.16,100.22,99.75,100.17,89.01,13162669
306,2018-11-18,100.38,101.18,100.33,101.14,89.87,21444364
307,2018-11-25,101.06,101.47,101.06,101.31,90.02,9534690
308,2018-12-02,101.19,101.82,101.13,101.78,90.44,15645252
309,2018-12-09,101.44,102.97,101.41,102.82,91.55,30506320
310,2018-12-16,102.84,103.04,102.31,102.56,91.32,25709029
311,2018-12-23,102.66,103.48,102.65,103.22,92.1,33963300
312,2018-12-30,103.38,103.82,102.95,103.81,92.62,20996230
313,2019-01-06,103.69,105.32,103.63,104.4,93.15,43129655
314,2019-01-13,104.52,104.57,103.77,104.17,92.94,33826138
315,2019-01-20,104.21,104.29,103.35,103.43,92.28,24004616
316,2019-01-27,103.72,104.18,103.58,103.83,92.64,18115768
317,2019-02-03,103.79,104.93,103.79,104.1,93.08,31139573
318,2019-02-10,103.97,104.73,103.81,104.61,93.53,23644529
319,2019-02-17,104.45,104.62,104.0,104.44,93.38,27162339
320,2019-02-24,104.63,104.72,104.22,104.6,93.52,20799747
321,2019-03-03,104.43,104.79,103.57,103.57,92.78,21981116
322,2019-03-10,103.73,104.83,103.66,104.74,93.83,18055304
323,2019-03-17,104.73,105.17,104.57,105.09,94.14,21673243
324,2019-03-24,104.99,106.51,104.75,106.34,95.26,23721307
325,2019-03-31,106.34,107.08,106.25,106.67,95.56,25387375
326,2019-04-07,106.1,106.13,105.52,105.73,94.91,25999914
327,2019-04-14,105.71,106.07,105.27,105.27,94.5,16441580
328,2019-04-21,105.29,105.46,105.0,105.32,94.54,14656425
329,2019-04-28,105.26,105.99,105.12,105.91,95.07,12972750
330,2019-05-05,105.72,106.11,105.27,105.48,94.88,18959113
331,2019-05-12,105.88,106.43,105.73,106.12,95.45,18642089
332,2019-05-19,106.57,106.97,106.44,106.73,96.0,19765724
333,2019-05-26,106.75,107.56,106.34,107.37,96.58,17284135
334,2019-06-02,107.62,108.95,107.53,108.91,97.96,21772527
335,2019-06-09,108.88,109.42,108.6,109.23,98.44,42244755
336,2019-06-16,108.86,109.38,108.58,109.32,98.52,16435330
337,2019-06-23,109.3,110.28,109.17,109.54,98.72,21025437
338,2019-06-30,109.74,110.23,109.6,110.02,99.15,21852208
339,2019-07-07,109.82,110.4,109.34,109.59,98.94,17579682
340,2019-07-14,109.75,109.82,108.88,109.05,98.45,18571593
341,2019-07-21,109.14,109.89,108.83,109.62,98.96,11258550
342,2019-07-28,109.79,109.8,109.23,109.44,98.8,12404405
343,2019-08-04,109.62,111.2,109.39,111.15,100.52,37132144
344,2019-08-11,111.82,113.27,111.66,112.13,101.41,31801807
345,2019-08-18,112.54,114.17,112.15,113.61,102.75,29086503
346,2019-08-25,113.04,113.94,113.0,113.78,102.9,25859723
347,2019-09-01,113.73,114.39,113.58,114.01,103.11,21237976
348,2019-09-08,113.88,114.44,113.08,113.4,102.73,22909892
349,2019-09-15,112.86,112.94,110.5,110.5,100.1,47153666
350,2019-09-22,110.9,112.02,110.75,112.0,101.46,35916976
351,2019-09-29,112.14,112.82,111.9,112.38,101.81,40900478
352,2019-10-06,112.21,113.89,111.81,113.81,103.26,26106961
353,2019-10-13,113.56,113.87,111.72,111.9,101.52,23446661
354,2019-10-20,112.25,112.29,111.64,111.95,101.57,16925183
355,2019-10-27,111.66,112.07,111.42,111.58,101.23,13417678
356,2019-11-03,111.19,112.58,111.05,112.13,101.89,27245015
357,2019-11-10,111.63,111.69,109.98,110.24,100.17,24278144
358,2019-11-17,110.49,111.4,110.18,111.18,101.02,13784993
359,2019-11-24,111.36,112.02,111.33,111.69,101.49,19302064
360,2019-12-01,111.7,111.99,111.44,111.57,101.38,12386622
361,2019-12-08,110.87,112.17,110.81,110.97,100.98,21240581
362,2019-12-15,111.21,111.47,110.31,111.16,101.15,16126699
363,2019-12-22,110.88,110.88,110.08,110.28,100.49,15372662
364,2019-12-29,110.31,110.73,110.04,110.69,100.86,5823216
365,2020-01-05,110.31,111.49,110.21,111.47,101.58,12698985
366,2020-01-12,111.66,111.67,110.63,111.25,101.37,16115061
367,2020-01-19,111.11,111.62,110.98,111.3,101.42,12611238
368,2020-01-26,111.55,112.61,111.54,112.44,102.46,13967207
369,2020-02-02,113.19,114.12,112.78,114.04,103.92,22348130
370,2020-02-09,113.61,113.84,112.56,113.26,103.35,25194509
371,2020-02-16,113.5,113.62,112.83,113.3,103.38,8951686
372,2020-02-23,113.45,114.53,113.3,114.25,104.25,18928743
373,2020-03-01,115.2,117.45,115.02,117.26,107.0,58534682
374,2020-03-08,117.55,121.31,116.97,120.4,109.99,55390801
375,2020-03-15,123.25,123.41,114.4,117.35,107.21,72550545
376,2020-03-22,120.03,120.68,115.34,119.14,108.84,42253445
377,2020-03-29,119.45,121.39,119.26,120.98,110.52,31664708
378,2020-04-05,121.79,122.29,121.18,121.94,111.53,28493243
379,2020-04-12,121.53,121.6,120.27,120.96,110.63,21922910
380,2020-04-19,120.85,122.3,120.67,121.75,111.36,11697488
381,2020-04-26,121.98,122.69,121.79,122.14,111.71,15406909
382,2020-05-03,121.85,122.26,121.46,121.71,111.44,21685243
383,2020-05-10,121.68,121.98,120.85,121.53,111.27,17087307
384,2020-05-17,121.51,122.23,121.09,121.95,111.66,15539476
385,2020-05-24,121.66,121.88,121.06,121.88,111.59,10815878
386,2020-05-31,121.5,121.99,121.37,121.94,111.65,12895657
387,2020-06-07,121.62,121.77,119.35,119.77,109.77,32826095
388,2020-06-14,119.67,121.85,119.66,121.39,111.26,20915129
389,2020-06-21,121.66,121.74,120.73,121.54,111.39,13946217
390,2020-06-28,121.66,122.07,121.24,121.97,111.79,11671244
391,2020-07-05,121.93,122.19,121.35,121.72,111.66,44229771
392,2020-07-12,121.41,122.29,121.29,121.89,111.82,12547494
393,2020-07-19,121.71,122.25,121.68,122.03,111.94,10170690
394,2020-07-26,122.2,122.45,122.02,122.34,112.23,13757966
395,2020-08-02,122.44,122.89,122.12,122.8,112.65,38092309
396,2020-08-09,122.52,123.09,122.46,122.53,112.49,17511826
397,2020-08-16,122.7,122.72,121.25,121.43,111.48,23170770
398,2020-08-23,121.69,122.15,121.6,122.12,112.12,14689236
399,2020-08-30,122.09,122.21,121.18,121.38,111.44,15825267
400,2020-09-06,121.4,122.39,121.3,121.47,111.6,24173167
401,2020-09-13,121.74,122.01,121.44,122.01,112.1,15476398
402,2020-09-20,122.02,122.1,121.66,121.7,111.81,17744123
403,2020-09-27,122.01,122.15,121.76,122.08,112.16,17452366
404,2020-10-04,122.04,122.22,121.43,121.69,111.87,27264404
405,2020-10-11,121.35,121.4,120.78,121.01,111.25,29622924
406,2020-10-18,121.06,121.6,120.99,121.25,111.47,21638903
407,2020-10-25,121.02,121.13,120.18,120.38,110.67,27989734
408,2020-11-01,120.64,121.18,120.06,120.06,110.38,28776787
409,2020-11-08,120.34,121.06,119.83,120.5,110.85,48453023
410,2020-11-15,119.59,120.15,119.19,119.98,110.37,30796246
411,2020-11-22,119.9,120.52,119.88,120.5,110.85,42645730
412,2020-11-29,120.34,120.47,120.01,120.47,110.83,11975177
413,2020-12-06,120.42,120.51,119.2,119.32,109.84,31065766
414,2020-12-13,119.61,120.27,119.47,120.15,110.6,20515784
415,2020-12-20,119.84,120.16,119.58,119.6,110.16,17240975
416,2020-12-27,119.79,119.9,119.42,119.8,110.35,11358862
